WKT,行政區,場所名稱,場所地址,管理單位,連絡電話,場所開放時間,飲水台數,設置地點,緯度,經度,名稱,說明,鄉鎮市區,地址,描述,聯絡電話,開放星期(一),開放時間(一),開放星期(二),開放時間(二),冰,溫,熱,WGS84_X,WGS84_Y
開放星期(一): 星期一~星期五
開放時間(一): 10:00~17:00
開放星期(二): -
開放時間(二): -
冰: TRUE
溫: TRUE
熱: TRUE
WGS84_X: 120.204350
WGS84_Y: 22.991690,中西區,中正路1-1號,入口右前方樓梯下B1會議廳,06-2224911,星期一~星期五,10:00~17:00,-,-,TRUE,TRUE,TRUE,120.204350,22.991690
"POINT (120.20499 22.99355 0.0)",,,,,,,,,,,交通部中央氣象局臺灣南區氣象中心,鄉鎮市區: 中西區
地址: 公園路21號
描述: 一樓廁所前洗手台旁
聯絡電話: 06-3459200
開放星期(一): 星期一~星期五
開放時間(一): 08:30~17:30
開放星期(二): -
開放時間(二): -
冰: TRUE
溫: TRUE
熱: TRUE
WGS84_X: 120.204990
WGS84_Y: 22.993550,中西區,公園路21號,一樓廁所前洗手台旁,06-3459200,星期一~星期五,08:30~17:30,-,-,TRUE,TRUE,TRUE,120.204990,22.993550
"POINT (120.20713 22.99279 0.0)",,,,,,,,,,,交通部觀光局旅遊服務中心臺南服務處,鄉鎮市區: 中西區
地址: 民權路一段243號10樓
描述: 入口左側飲水機
聯絡電話: 06-2265681
開放星期(一): 星期一~星期日
開放時間(一): 09:00~17:00
開放星期(二): -
開放時間(二): -
冰: TRUE
溫: TRUE
熱: TRUE
WGS84_X: 120.207130
WGS84_Y: 22.992790,中西區,民權路一段243號10樓,入口左側飲水機,06-2265681,星期一~星期日,09:00~17:00,-,-,TRUE,TRUE,TRUE,120.207130,22.992790
"POINT (120.201568 22.98917 0.0)",,,,,,,,,,,法務部行政執行署臺南分署,鄉鎮市區: 中西區
地址: 忠義路一段125巷12號
描述: 入口左測為民服務中心前方
聯絡電話: 06-2134322
開放星期(一): 星期一~星期五
開放時間(一): 08:30~17:30
開放星期(二): -
開放時間(二): -
冰: TRUE
溫: TRUE
熱: TRUE
WGS84_X: 120.201568
WGS84_Y: 22.989170,中西區,忠義路一段125巷12號,入口左測為民服務中心前方,06-2134322,星期一~星期五,08:30~17:30,-,-,TRUE,TRUE,TRUE,120.201568,22.989170
"POINT (120.187418 22.992074 0.0)",,,,,,,,,,,國立臺南生活美學館,鄉鎮市區: 中西區
地址: 中華西路二段34號
描述: 一樓茶水間
聯絡電話: 06-2984990
開放星期(一): 星期二~星期日
開放時間(一): 09:00~17:00
開放星期(二): -
開放時間(二): -
冰: TRUE
溫: TRUE
熱: TRUE
WGS84_X: 120.187418
WGS84_Y: 22.992074,中西區,中華西路二段34號,一樓茶水間,06-2984990,星期二~星期日,09:00~17:00,-,-,TRUE,TRUE,TRUE,120.187418,22.992074
"POINT (120.204496 22.991733 0.0)",,,,,,,,,,,國立臺灣文學館(1),鄉鎮市區: 中西區
地址: 中正路1號
描述: 一樓哺乳室旁
聯絡電話: 06-2217201
開放星期(一): 星期二~星期六
開放時間(一): 09:00~18:00
開放星期(二): -
開放時間(二): -
冰: FALSE
溫: TRUE
熱: TRUE
WGS84_X: 120.204496
WGS84_Y: 22.991733,中西區,中正路1號,一樓哺乳室旁,06-2217201,星期二~星期六,09:00~18:00,-,-,FALSE,TRUE,TRUE,120.204496,22.991733
"POINT (120.204324 22.991216 0.0)",,,,,,,,,,,國立臺灣文學館(2),鄉鎮市區: 中西區
地址: 中正路1號
描述: 一樓藝文商店旁
聯絡電話: 06-2217201
開放星期(一): 星期二~星期六
開放時間(一): 09:00~18:00
開放星期(二): -
開放時間(二): -
冰: FALSE
溫: TRUE
熱: TRUE
WGS84_X: 120.204324
WGS84_Y: 22.991216,中西區,中正路1號,一樓藝文商店旁,06-2217201,星期二~星期六,09:00~18:00,-,-,FALSE,TRUE,TRUE,120.204324,22.991216
"POINT (120.204596 22.99199 0.0)",,,,,,,,,,,國立臺灣文學館(3),鄉鎮市區: 中西區
地址: 中正路1號
描述: B1圖書室茶水間
聯絡電話: 06-2217201
開放星期(一): 星期二~星期六
開放時間(一): 09:00~18:00
開放星期(二): -
開放時間(二): -
冰: TRUE
溫: TRUE
熱: TRUE
WGS84_X: 120.204596
WGS84_Y: 22.991990,中西區,中正路1號,B1圖書室茶水間,06-2217201,星期二~星期六,09:00~18:00,-,-,TRUE,TRUE,TRUE,120.204596,22.991990
"POINT (120.193798 22.993386 0.0)",,,,,,,,,,,勞工保險局臺南市辦事處,鄉鎮市區: 中西區
地址: 中正路351號
描述: 進門走到底左側
聯絡電話: 06-2225324
開放星期(一): 星期一~星期五
開放時間(一): 08:30~17:30
開放星期(二): -
開放時間(二): -
冰: TRUE
溫: TRUE
熱: TRUE
WGS84_X: 120.193798
WGS84_Y: 22.993386,中西區,中正路351號,進門走到底左側,06-2225324,星期一~星期五,08:30~17:30,-,-,TRUE,TRUE,TRUE,120.193798,22.993386
"POINT (120.19646 22.98766 0.0)",,,,,,,,,,,經濟部智慧財產局臺南服務處,鄉鎮市區: 中西區
地址: 永華路一段32號5樓
描述: 進門左轉
聯絡電話: 06-2225011
開放星期(一): 星期一~星期五
開放時間(一): 08:30~17:30
開放星期(二): -
開放時間(二): -
冰: TRUE
溫: TRUE
熱: TRUE
WGS84_X: 120.196460
WGS84_Y: 22.987660,中西區,永華路一段32號5樓,進門左轉,06-2225011,星期一~星期五,08:30~17:30,-,-,TRUE,TRUE,TRUE,120.196460,22.987660
"POINT (120.21188 22.99648 0.0)",,,,,,,,,,,經濟部標準檢驗局臺南分局,鄉鎮市區: 中西區
地址: 北門路一段179號
描述: 值日室內
聯絡電話: 06-2264101
開放星期(一): 星期一~星期五
開放時間(一): 08:30~17:30
開放星期(二): -
開放時間(二): -
冰: TRUE
溫: TRUE
熱: TRUE
WGS84_X: 120.211880
WGS84_Y: 22.996480,中西區,北門路一段179號,值日室內,06-2264101,星期一~星期五,08:30~17:30,-,-,TRUE,TRUE,TRUE,120.211880,22.996480
"POINT (120.21085 22.995852 0.0)",,,,,,,,,,,臺灣高等檢察署臺南檢察分署,鄉鎮市區: 中西區
地址: 中山路170號
描述: 進門左側為民服務中心
聯絡電話: 06-2283101
開放星期(一): 星期一~星期五
開放時間(一): 08:00~17:30
開放星期(二): -
開放時間(二): -
冰: FALSE
溫: FALSE
熱: TRUE
WGS84_X: 120.210850
WGS84_Y: 22.995852,中西區,中山路170號,進門左側為民服務中心,06-2283101,星期一~星期五,08:00~17:30,-,-,FALSE,FALSE,TRUE,120.210850,22.995852
"POINT (120.19287 22.99273 0.0)",,,,,,,,,,,大安婦幼醫院,鄉鎮市區: 中西區
地址: 金華路三段167號
描述: 入口右側飲水機
聯絡電話: 06-2278899
開放星期(一): 星期一~星期日
開放時間(一): 08:30~21:00
開放星期(二): -
開放時間(二): -
冰: FALSE
溫: TRUE
熱: TRUE
WGS84_X: 120.192870
WGS84_Y: 22.992730,中西區,金華路三段167號,入口右側飲水機,06-2278899,星期一~星期日,08:30~21:00,-,-,FALSE,TRUE,TRUE,120.192870,22.992730
"POINT (120.197939 22.983619 0.0)",,,,,,,,,,,仁村醫院,鄉鎮市區: 中西區
地址: 西門路一段486號
描述: 無障礙坡道右側飲水機
聯絡電話: 06-2152607
開放星期(一): 星期一~星期日
開放時間(一): 08:00~18:00
開放星期(二): -
開放時間(二): -
冰: FALSE
溫: TRUE
熱: TRUE
WGS84_X: 120.197939
WGS84_Y: 22.983619,中西區,西門路一段486號,無障礙坡道右側飲水機,06-2152607,星期一~星期日,08:00~18:00,-,-,FALSE,TRUE,TRUE,120.197939,22.983619
"POINT (120.206327 22.99807 0.0)",,,,,,,,,,,永川醫院,鄉鎮市區: 中西區
地址: 成功路169號
描述: 門診間旁
聯絡電話: 06-2245771
開放星期(一): 星期一~星期日
開放時間(一): 08:30~21:00
開放星期(二): -
開放時間(二): -
冰: TRUE
溫: TRUE
熱: TRUE
WGS84_X: 120.206327
WGS84_Y: 22.998070,中西區,成功路169號,門診間旁,06-2245771,星期一~星期日,08:30~21:00,-,-,TRUE,TRUE,TRUE,120.206327,22.998070
"POINT (120.198843 22.990311 0.0)",,,,,,,,,,,永和醫院,鄉鎮市區: 中西區
地址: 府前路一段310號
描述: 大門進去右手邊
聯絡電話: 06-2231191
開放星期(一): 星期一~星期六
開放時間(一): 08:30~17:00
開放星期(二): -
開放時間(二): -
冰: FALSE
溫: TRUE
熱: TRUE
WGS84_X: 120.198843
WGS84_Y: 22.990311,中西區,府前路一段310號,大門進去右手邊,06-2231191,星期一~星期六,08:30~17:00,-,-,FALSE,TRUE,TRUE,120.198843,22.990311
"POINT (120.196186 22.986534 0.0)",,,,,,,,,,,奇美醫療財團法人奇美醫院樹林院區,鄉鎮市區: 中西區
地址: 樹林街二段442號
描述: 一樓大廳
聯絡電話: 06-2228116
開放星期(一): 星期一~星期日
開放時間(一): 08:00~17:00
開放星期(二): -
開放時間(二): -
冰: FALSE
溫: TRUE
熱: TRUE
WGS84_X: 120.196186
WGS84_Y: 22.986534,中西區,樹林街二段442號,一樓大廳,06-2228116,星期一~星期日,08:00~17:00,-,-,FALSE,TRUE,TRUE,120.196186,22.986534
"POINT (120.19765 22.99514 0.0)",,,,,,,,,,,洪外科醫院,鄉鎮市區: 中西區
地址: 民生路二段60號
描述: 診間走道右手邊
聯絡電話: 06-2240011
開放星期(一): 星期一~星期日
開放時間(一): 08:00~21:00
開放星期(二): -
開放時間(二): -
冰: FALSE
溫: TRUE
熱: TRUE
WGS84_X: 120.197650
WGS84_Y: 22.995140,中西區,民生路二段60號,診間走道右手邊,06-2240011,星期一~星期日,08:00~21:00,-,-,FALSE,TRUE,TRUE,120.197650,22.995140
"POINT (120.19891 22.99463 0.0)",,,,,,,,,,,郭綜合醫院,鄉鎮市區: 中西區
地址: 民生路二段22號
描述: 急診室旁
聯絡電話: 06-2221111
開放星期(一): 星期一~星期日
開放時間(一): 全天
開放星期(二): -
開放時間(二): -
冰: TRUE
溫: TRUE
熱: TRUE
WGS84_X: 120.198910
WGS84_Y: 22.994630,中西區,民生路二段22號,急診室旁,06-2221111,星期一~星期日,全天,-,-,TRUE,TRUE,TRUE,120.198910,22.994630
"POINT (120.19871 22.99476 0.0)",,,,,,,,,,,郭綜合醫院大廳,鄉鎮市區: 中西區
地址: 民生路二段22號
描述: 大廳
聯絡電話: 06-2221111
開放星期(一): 星期一~星期日
開放時間(一): 08:00~21:30
開放星期(二): -
開放時間(二): -
冰: TRUE
溫: TRUE
熱: TRUE
WGS84_X: 120.198710
WGS84_Y: 22.994760,中西區,民生路二段22號,大廳,06-2221111,星期一~星期日,08:00~21:30,-,-,TRUE,TRUE,TRUE,120.198710,22.994760
"POINT (120.20887 22.99607 0.0)",,,,,,,,,,,衛生福利部臺南醫院,鄉鎮市區: 中西區
地址: 中山路125號
描述: 門診入口左側走到底飲水機
聯絡電話: 06-2200055
開放星期(一): 星期一~星期五
開放時間(一): 08:00~17:30
開放星期(二): -
開放時間(二): -
冰: FALSE
溫: TRUE
熱: TRUE
WGS84_X: 120.208870
WGS84_Y: 22.996070,中西區,中山路125號,門診入口左側走到底飲水機,06-2200055,星期一~星期五,08:00~17:30,-,-,FALSE,TRUE,TRUE,120.208870,22.996070
"POINT (120.212728 22.9964 0.0)",,,,,,,,,,,內政部警政署鐵路警察局第三警務段臺南分駐所,鄉鎮市區: 中西區
地址: 北門路二段4號
描述: 請詢問值班人員
聯絡電話: 06-2232639
開放星期(一): 星期一~星期日
開放時間(一): 05:00~24:00
開放星期(二): -
開放時間(二): -
冰: TRUE
溫: TRUE
熱: TRUE
WGS84_X: 120.212728
WGS84_Y: 22.996400,中西區,北門路二段4號,請詢問值班人員,06-2232639,星期一~星期日,05:00~24:00,-,-,TRUE,TRUE,TRUE,120.212728,22.996400
"POINT (120.19409 22.99337 0.0)",,,,,,,,,,,臺南市政府警察局第二分局中正派出所,鄉鎮市區: 中西區
地址: 中正路347號
描述: 請詢問值班人員
聯絡電話: 06-2222919
開放星期(一): 星期一~星期日
開放時間(一): 全天
開放星期(二): -
開放時間(二): -
冰: TRUE
溫: TRUE
熱: TRUE
WGS84_X: 120.194090
WGS84_Y: 22.993370,中西區,中正路347號,請詢問值班人員,06-2222919,星期一~星期日,全天,-,-,TRUE,TRUE,TRUE,120.194090,22.993370
"POINT (120.20172 22.9955 0.0)",,,,,,,,,,,臺南市政府警察局第二分局民權派出所,鄉鎮市區: 中西區
地址: 民權路二段202號
描述: 請詢問值班人員
聯絡電話: 06-2223002
開放星期(一): 星期一~星期日
開放時間(一): 全天
開放星期(二): -
開放時間(二): -
冰: TRUE
溫: TRUE
熱: TRUE
WGS84_X: 120.201720
WGS84_Y: 22.995500,中西區,民權路二段202號,請詢問值班人員,06-2223002,星期一~星期日,全天,-,-,TRUE,TRUE,TRUE,120.201720,22.995500
"POINT (120.19227 22.99653 0.0)",,,,,,,,,,,臺南市政府警察局第二分局長樂派出所,鄉鎮市區: 中西區
地址: 民生路二段271號
描述: 請詢問值班人員
聯絡電話: 06-2222422
開放星期(一): 星期一~星期日
開放時間(一): 全天
開放星期(二): -
開放時間(二): -
冰: TRUE
溫: TRUE
熱: TRUE
WGS84_X: 120.192270
WGS84_Y: 22.996530,中西區,民生路二段271號,請詢問值班人員,06-2222422,星期一~星期日,全天,-,-,TRUE,TRUE,TRUE,120.192270,22.996530
"POINT (120.20049 22.98531 0.0)",,,,,,,,,,,臺南市政府警察局第二分局南門派出所,鄉鎮市區: 中西區
地址: 南寧街144號
描述: 請詢問值班人員
聯絡電話: 06-2134480
開放星期(一): 星期一~星期日
開放時間(一): 08:00~17:00
開放星期(二): -
開放時間(二): -
冰: TRUE
溫: TRUE
熱: TRUE
WGS84_X: 120.200490
WGS84_Y: 22.985310,中西區,南寧街144號,請詢問值班人員,06-2134480,星期一~星期日,08:00~17:00,-,-,TRUE,TRUE,TRUE,120.200490,22.985310
"POINT (120.192209 22.996555 0.0)",,,,,,,,,,,臺南市政府警察局第二分局海安派出所,鄉鎮市區: 中西區
地址: 民生路二段273號
描述: 請詢問值班人員
聯絡電話: 06-2200295
開放星期(一): 星期一~星期日
開放時間(一): 全天
開放星期(二): -
開放時間(二): -
冰: TRUE
溫: TRUE
熱: TRUE
WGS84_X: 120.192209
WGS84_Y: 22.996555,中西區,民生路二段273號,請詢問值班人員,06-2200295,星期一~星期日,全天,-,-,TRUE,TRUE,TRUE,120.192209,22.996555
"POINT (120.21152 22.99262 0.0)",,,,,,,,,,,臺南市政府警察局第二分局博愛派出所,鄉鎮市區: 中西區
地址: 北門路一段103號
描述: 請詢問值班人員
聯絡電話: 06-2287553
開放星期(一): 星期一~星期日
開放時間(一): 全天
開放星期(二): -
開放時間(二): -
冰: TRUE
溫: TRUE
熱: TRUE
WGS84_X: 120.211520
WGS84_Y: 22.992620,中西區,北門路一段103號,請詢問值班人員,06-2287553,星期一~星期日,全天,-,-,TRUE,TRUE,TRUE,120.211520,22.992620
"POINT (120.251304 22.972221 0.0)",,,,,,,,,,,臺南市仁德戶政事務所仁德辦公處,鄉鎮市區: 仁德區
地址: 中山路606巷3號
描述: 進門直走到底右手邊
聯絡電話: 06-2704430
開放星期(一): 星期一~星期五
開放時間(一): 08:00~17:30
開放星期(二): 星期六
開放時間(二): 08:00~12:00
冰: FALSE
溫: TRUE
熱: FALSE
WGS84_X: 120.251304
WGS84_Y: 22.972221,仁德區,中山路606巷3號,進門直走到底右手邊,06-2704430,星期一~星期五,08:00~17:30,星期六,08:00~12:00,FALSE,TRUE,FALSE,120.251304,22.972221
"POINT (120.251498 22.972765 0.0)",,,,,,,,,,,臺南市仁德區衛生所,鄉鎮市區: 仁德區
地址: 中山路606巷2號
描述: 進門左手邊候診區
聯絡電話: 06-2704153
開放星期(一): 星期一~星期五
開放時間(一): 08:00~17:30
開放星期(二): -
開放時間(二): -
冰: FALSE
溫: TRUE
熱: TRUE
WGS84_X: 120.251498
WGS84_Y: 22.972765,仁德區,中山路606巷2號,進門左手邊候診區,06-2704153,星期一~星期五,08:00~17:30,-,-,FALSE,TRUE,TRUE,120.251498,22.972765
"POINT (120.243633 22.960892 0.0)",,,,,,,,,,,中華醫事科技大學,鄉鎮市區: 仁德區
地址: 文華一街89號
描述: 大門口左手邊科館一樓中間
聯絡電話: 06-2674567
開放星期(一): 星期一~星期日
開放時間(一): 08:00~17:00
開放星期(二): -
開放時間(二): -
冰: TRUE
溫: TRUE
熱: TRUE
WGS84_X: 120.243633
WGS84_Y: 22.960892,仁德區,文華一街89號,大門口左手邊科館一樓中間,06-2674567,星期一~星期日,08:00~17:00,-,-,TRUE,TRUE,TRUE,120.243633,22.960892
"POINT (120.225346 22.920997 0.0)",,,,,,,,,,,嘉南藥理科技大學,鄉鎮市區: 仁德區
地址: 二仁路一段60號
描述: 行政大樓(A棟)一樓最右側
聯絡電話: 06-2664911
開放星期(一): 星期一~星期日
開放時間(一): 08:00~22:00
開放星期(二): -
開放時間(二): -
冰: FALSE
溫: TRUE
熱: TRUE
WGS84_X: 120.225346
WGS84_Y: 22.920997,仁德區,二仁路一段60號,行政大樓(A棟)一樓最右側,06-2664911,星期一~星期日,08:00~22:00,-,-,FALSE,TRUE,TRUE,120.225346,22.920997
"POINT (120.259736 22.947719 0.0)",,,,,,,,,,,仁德幼兒園,鄉鎮市區: 仁德區
地址: 民安路2段436號
描述: -
聯絡電話: 06-2796114
開放星期(一): 星期一~星期五
開放時間(一): 08:00~17:00
開放星期(二): -
開放時間(二): -
冰: TRUE
溫: TRUE
熱: TRUE
WGS84_X: 120.259736
WGS84_Y: 22.947719,仁德區,民安路2段436號,-,06-2796114,星期一~星期五,08:00~17:00,-,-,TRUE,TRUE,TRUE,120.259736,22.947719
"POINT (120.253222 22.972618 0.0)",,,,,,,,,,,仁德公有零售市場,鄉鎮市區: 仁德區
地址: 正義一街39號
描述: 一樓辦公室
聯絡電話: 06-2796881
開放星期(一): 星期一~星期日
開放時間(一): 08:00~12:00
開放星期(二): -
開放時間(二): -
冰: TRUE
溫: TRUE
熱: TRUE
WGS84_X: 120.253222
WGS84_Y: 22.972618,仁德區,正義一街39號,一樓辦公室,06-2796881,星期一~星期日,08:00~12:00,-,-,TRUE,TRUE,TRUE,120.253222,22.972618
"POINT (120.256128 22.974274 0.0)",,,,,,,,,,,臺南市議員郭鴻儀服務處,鄉鎮市區: 仁德區
地址: 中清路215號
描述: 
聯絡電話: 06-2796111
開放星期(一): 星期一~星期六
開放時間(一): 09:00~21:00
開放星期(二): 
開放時間(二): 
冰: FALSE
溫: TRUE
熱: FALSE
WGS84_X: 120.256128
WGS84_Y: 22.974274,仁德區,中清路215號,,06-2796111,星期一~星期六,09:00~21:00,,,FALSE,TRUE,FALSE,120.256128,22.974274
"POINT (120.217002 22.948739 0.0)",,,,,,,,,,,奇美食品幸福工廠,鄉鎮市區: 仁德區
地址: 機場路1008號
描述: 廁所旁
聯絡電話: 06-2698588
開放星期(一): 星期一~星期日
開放時間(一): 09:00~17:00
開放星期(二): -
開放時間(二): -
冰: TRUE
溫: TRUE
熱: TRUE
WGS84_X: 120.217002
WGS84_Y: 22.948739,仁德區,機場路1008號,廁所旁,06-2698588,星期一~星期日,09:00~17:00,-,-,TRUE,TRUE,TRUE,120.217002,22.948739
"POINT (120.24483 22.97309 0.0)",,,,,,,,,,,迪卡儂臺南仁德店,鄉鎮市區: 仁德區
地址: 中山路799號
描述: 電梯、樓梯、廁所交叉路口
聯絡電話: 06-2791655
開放星期(一): 星期一~星期日
開放時間(一): 10:00~22:00
開放星期(二): -
開放時間(二): -
冰: TRUE
溫: TRUE
熱: TRUE
WGS84_X: 120.244830
WGS84_Y: 22.973090,仁德區,中山路799號,電梯、樓梯、廁所交叉路口,06-2791655,星期一~星期日,10:00~22:00,-,-,TRUE,TRUE,TRUE,120.244830,22.973090
"POINT (120.247184 22.972274 0.0)",,,,,,,,,,,家樂福仁德店(1),鄉鎮市區: 仁德區
地址: 中山路711號
描述: 一樓收銀線外
聯絡電話: 06-2496666
開放星期(一): 星期一~星期日
開放時間(一): 09:00~23:00
開放星期(二): -
開放時間(二): -
冰: TRUE
溫: TRUE
熱: TRUE
WGS84_X: 120.247184
WGS84_Y: 22.972274,仁德區,中山路711號,一樓收銀線外,06-2496666,星期一~星期日,09:00~23:00,-,-,TRUE,TRUE,TRUE,120.247184,22.972274
"POINT (120.24708 22.972415 0.0)",,,,,,,,,,,家樂福仁德店(2),鄉鎮市區: 仁德區
地址: 中山路711號
描述: 一樓育嬰室
聯絡電話: 06-2496666
開放星期(一): 星期一~星期日
開放時間(一): 09:00~23:00
開放星期(二): -
開放時間(二): -
冰: TRUE
溫: TRUE
熱: TRUE
WGS84_X: 120.247080
WGS84_Y: 22.972415,仁德區,中山路711號,一樓育嬰室,06-2496666,星期一~星期日,09:00~23:00,-,-,TRUE,TRUE,TRUE,120.247080,22.972415
"POINT (120.246959 22.972045 0.0)",,,,,,,,,,,家樂福仁德店(3),鄉鎮市區: 仁德區
地址: 中山路711號
描述: 一樓賣場內
聯絡電話: 06-2496666
開放星期(一): 星期一~星期日
開放時間(一): 09:00~23:00
開放星期(二): -
開放時間(二): -
冰: TRUE
溫: TRUE
熱: TRUE
WGS84_X: 120.246959
WGS84_Y: 22.972045,仁德區,中山路711號,一樓賣場內,06-2496666,星期一~星期日,09:00~23:00,-,-,TRUE,TRUE,TRUE,120.246959,22.972045
"POINT (120.246895 22.972203 0.0)",,,,,,,,,,,家樂福仁德店(4),鄉鎮市區: 仁德區
地址: 中山路711號
描述: 二樓賣場內
聯絡電話: 06-2496666
開放星期(一): 星期一~星期日
開放時間(一): 09:00~23:00
開放星期(二): -
開放時間(二): -
冰: TRUE
溫: TRUE
熱: TRUE
WGS84_X: 120.246895
WGS84_Y: 22.972203,仁德區,中山路711號,二樓賣場內,06-2496666,星期一~星期日,09:00~23:00,-,-,TRUE,TRUE,TRUE,120.246895,22.972203
"POINT (120.246661 22.972257 0.0)",,,,,,,,,,,家樂福仁德店(5),鄉鎮市區: 仁德區
地址: 中山路711號
描述: 二樓顧客休息區
聯絡電話: 06-2496666
開放星期(一): 星期一~星期日
開放時間(一): 09:00~23:00
開放星期(二): -
開放時間(二): -
冰: TRUE
溫: TRUE
熱: TRUE
WGS84_X: 120.246661
WGS84_Y: 22.972257,仁德區,中山路711號,二樓顧客休息區,06-2496666,星期一~星期日,09:00~23:00,-,-,TRUE,TRUE,TRUE,120.246661,22.972257
"POINT (120.22021 22.94682 0.0)",,,,,,,,,,,家樂福新仁店(1),鄉鎮市區: 仁德區
地址: 大同路三段755號
描述: 熟食賣場休息區
聯絡電話: 0800-255005
開放星期(一): 星期一~星期日
開放時間(一): 09:00~22:30
開放星期(二): -
開放時間(二): -
冰: TRUE
溫: TRUE
熱: TRUE
WGS84_X: 120.220210
WGS84_Y: 22.946820,仁德區,大同路三段755號,熟食賣場休息區,0800-255005,星期一~星期日,09:00~22:30,-,-,TRUE,TRUE,TRUE,120.220210,22.946820
"POINT (120.22009 22.94684 0.0)",,,,,,,,,,,家樂福新仁店(2),鄉鎮市區: 仁德區
地址: 大同路三段755號
描述: B1收銀線外休息區
聯絡電話: 0800-255005
開放星期(一): 星期一~星期日
開放時間(一): 09:00~22:30
開放星期(二): -
開放時間(二): -
冰: TRUE
溫: TRUE
熱: TRUE
WGS84_X: 120.220090
WGS84_Y: 22.946840,仁德區,大同路三段755號,B1收銀線外休息區,0800-255005,星期一~星期日,09:00~22:30,-,-,TRUE,TRUE,TRUE,120.220090,22.946840
"POINT (120.22007 22.94742 0.0)",,,,,,,,,,,家樂福新仁店(3),鄉鎮市區: 仁德區
地址: 大同路三段755號
描述: B1育嬰室
聯絡電話: 0800-255005
開放星期(一): 星期一~星期日
開放時間(一): 09:00~22:30
開放星期(二): -
開放時間(二): -
冰: TRUE
溫: TRUE
熱: TRUE
WGS84_X: 120.220070
WGS84_Y: 22.947420,仁德區,大同路三段755號,B1育嬰室,0800-255005,星期一~星期日,09:00~22:30,-,-,TRUE,TRUE,TRUE,120.220070,22.947420
"POINT (120.22289 22.94267 0.0)",,,,,,,,,,,深白曙光工房,鄉鎮市區: 仁德區
地址: 文賢路一段116號
描述: 請直接進入店內詢問
聯絡電話: 0935-323666
開放星期(一): 星期一~星期日
開放時間(一): 10:00~21:00
開放星期(二): -
開放時間(二): -
冰: FALSE
溫: TRUE
熱: FALSE
WGS84_X: 120.222890
WGS84_Y: 22.942670,仁德區,文賢路一段116號,請直接進入店內詢問,0935-323666,星期一~星期日,10:00~21:00,-,-,FALSE,TRUE,FALSE,120.222890,22.942670
"POINT (120.22373 22.91685 0.0)",,,,,,,,,,,二層行清王宮,鄉鎮市區: 仁德區
地址: 二行里行大街2號
描述: 廟的入口右方
聯絡電話: 06-2665445
開放星期(一): 星期一~星期日
開放時間(一): 08:0~18:00
開放星期(二): -
開放時間(二): -
冰: FALSE
溫: TRUE
熱: TRUE
WGS84_X: 120.223730
WGS84_Y: 22.916850,仁德區,二行里行大街2號,廟的入口右方,06-2665445,星期一~星期日,08:0~18:00,-,-,FALSE,TRUE,TRUE,120.223730,22.916850
"POINT (120.258799 22.988213 0.0)",,,,,,,,,,,土庫天后宮,鄉鎮市區: 仁德區
地址: 土庫里土庫五街33號
描述: 廟內龍邊
聯絡電話: 06-2723671
開放星期(一): 星期一~星期日
開放時間(一): 06:00~20:00
開放星期(二): -
開放時間(二): -
冰: FALSE
溫: FALSE
熱: TRUE
WGS84_X: 120.258799
WGS84_Y: 22.988213,仁德區,土庫里土庫五街33號,廟內龍邊,06-2723671,星期一~星期日,06:00~20:00,-,-,FALSE,FALSE,TRUE,120.258799,22.988213
"POINT (120.257218 22.99156 0.0)",,,,,,,,,,,仁德明直宮,鄉鎮市區: 仁德區
地址: 太子里太子路354號
描述: 廟內虎邊
聯絡電話: 06-2732645
開放星期(一): 星期一~星期日
開放時間(一): 06:00~21:00
開放星期(二): -
開放時間(二): -
冰: TRUE
溫: TRUE
熱: TRUE
WGS84_X: 120.257218
WGS84_Y: 22.991560,仁德區,太子里太子路354號,廟內虎邊,06-2732645,星期一~星期日,06:00~21:00,-,-,TRUE,TRUE,TRUE,120.257218,22.991560
"POINT (120.22687 22.95934 0.0)",,,,,,,,,,,牛稠仔保華宮,鄉鎮市區: 仁德區
地址: 保華路243號
描述: 左邊入口
聯絡電話: 06-2682229
開放星期(一): 星期一~星期日
開放時間(一): 06:00~20:00
開放星期(二): -
開放時間(二): -
冰: FALSE
溫: TRUE
熱: TRUE
WGS84_X: 120.226870
WGS84_Y: 22.959340,仁德區,保華路243號,左邊入口,06-2682229,星期一~星期日,06:00~20:00,-,-,FALSE,TRUE,TRUE,120.226870,22.959340
"POINT (120.257066 22.952417 0.0)",,,,,,,,,,,民安宮,鄉鎮市區: 仁德區
地址: 德糖路201號
描述: 右邊入口直走
聯絡電話: 06-2793167
開放星期(一): 星期一~星期日
開放時間(一): 06:00~20:00
開放星期(二): -
開放時間(二): -
冰: FALSE
溫: TRUE
熱: TRUE
WGS84_X: 120.257066
WGS84_Y: 22.952417,仁德區,德糖路201號,右邊入口直走,06-2793167,星期一~星期日,06:00~20:00,-,-,FALSE,TRUE,TRUE,120.257066,22.952417
"POINT (120.254681 22.976822 0.0)",,,,,,,,,,,忠義宮,鄉鎮市區: 仁德區
地址: 一甲里忠義路260號
描述: 廟內虎邊
聯絡電話: 06-2701433
開放星期(一): 星期一~星期日
開放時間(一): 06:00~21:00
開放星期(二): -
開放時間(二): -
冰: TRUE
溫: TRUE
熱: TRUE
WGS84_X: 120.254681
